Symbol,Industry Group,Sector,Industry,Sub-Industry
4322,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Development 
4325,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Diversified Real Estate Activities 
4327,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Development 
4020,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Diversified Real Estate Activities 
4090,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Diversified Real Estate Activities 
4100,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Diversified Real Estate Activities 
4150,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Operating Companies
4220,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Development 
4250,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Diversified Real Estate Activities 
4300,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Development 
4310,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Development 
4320,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Operating Companies
4321,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Operating Companies
4322,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Development 
4326,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Development 
4323,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Development 
4324,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Real Estate Operating Companies
4230,Real Estate Mgmt & Dev't,Real Estate,Real Estate Management and Development,Diversified Real Estate Activities 
2222,Energy,Energy,Oil &  Gas and Consumable Fuels,Integrated Oil and Gas
2381,Energy,Energy,Energy Equipment and Services,Oil and Gas Drilling
2382,Energy,Energy,Energy Equipment and Services,Oil and Gas Drilling
2380,Energy,Energy,Oil &  Gas and Consumable Fuels,Oil and Gas Refining and Marketing
4030,Energy,Energy,Oil &  Gas and Consumable Fuels,Oil and Gas Storage and Transportation
2030,Energy,Energy,Oil &  Gas and Consumable Fuels,Oil and Gas Refining and Marketing
1202,Materials,Materials,Paper and Forest Products,Paper Products
3007,Materials,Materials,Containers and Packaging,Metal &  Glass and Plastic Containers
1201,Materials,Materials,Containers and Packaging,Metal &  Glass and Plastic Containers
1322,Materials,Materials,Metals and Mining,Diversified Metals and Mining
4143,Materials,Materials,Chemicals,Commodity Chemicals
2150,Materials,Materials,Containers and Packaging,Metal &  Glass and Plastic Containers
2180,Materials,Materials,Containers and Packaging,Paper and Plastic Packaging Products and Materials
2220,Materials,Materials,Metals and Mining,Steel
1323,Materials,Materials,Containers and Packaging,Paper and Plastic Packaging Products and Materials
2300,Materials,Materials,Paper and Forest Products,Paper Products
3008,Materials,Materials,Construction Materials,Construction Materials
1301,Materials,Materials,Metals and Mining,Steel
1320,Materials,Materials,Metals and Mining,Steel
2090,Materials,Materials,Construction Materials,Construction Materials
2200,Materials,Materials,Metals and Mining,Steel
2240,Materials,Materials,Metals and Mining,Steel
2360,Materials,Materials,Construction Materials,Construction Materials
1210,Materials,Materials,Chemicals,Diversified Chemicals
1211,Materials,Materials,Metals and Mining,Diversified Metals and Mining
1304,Materials,Materials,Metals and Mining,Steel
1321,Materials,Materials,Metals and Mining,Steel
2223,Materials,Materials,Chemicals,Commodity Chemicals
2001,Materials,Materials,Chemicals,Diversified Chemicals
2010,Materials,Materials,Chemicals,Commodity Chemicals
2020,Materials,Materials,Chemicals,Fertilizers and Agricultural Chemicals
2060,Materials,Materials,Chemicals,Commodity Chemicals
2170,Materials,Materials,Chemicals,Commodity Chemicals
2210,Materials,Materials,Chemicals,Commodity Chemicals
2250,Materials,Materials,Chemicals,Commodity Chemicals
2290,Materials,Materials,Chemicals,Commodity Chemicals
2310,Materials,Materials,Chemicals,Commodity Chemicals
2330,Materials,Materials,Chemicals,Commodity Chemicals
2350,Materials,Materials,Chemicals,Commodity Chemicals
3002,Materials,Materials,Construction Materials,Construction Materials
3003,Materials,Materials,Construction Materials,Construction Materials
3004,Materials,Materials,Construction Materials,Construction Materials
3010,Materials,Materials,Construction Materials,Construction Materials
3020,Materials,Materials,Construction Materials,Construction Materials
3030,Materials,Materials,Construction Materials,Construction Materials
3040,Materials,Materials,Construction Materials,Construction Materials
3050,Materials,Materials,Construction Materials,Construction Materials
3060,Materials,Materials,Construction Materials,Construction Materials
3080,Materials,Materials,Construction Materials,Construction Materials
3090,Materials,Materials,Construction Materials,Construction Materials
3091,Materials,Materials,Construction Materials,Construction Materials
3005,Materials,Materials,Construction Materials,Construction Materials
3092,Materials,Materials,Construction Materials,Construction Materials
4142,Capital Goods,Industrials,Electrical Equipment,Electrical Components and Equipment
1214,Capital Goods,Industrials,Trading Companies and Distributors,Trading Companies and Distributors
1212,Capital Goods,Industrials,Industrial Conglomerates,Industrial Conglomerates
1302,Capital Goods,Industrials,Building Products,Building Products
2370,Capital Goods,Industrials,Electrical Equipment,Electrical Components and Equipment
1303,Capital Goods,Industrials,Electrical Equipment,Electrical Components and Equipment
2320,Capital Goods,Industrials,Construction and Engineering,Construction and Engineering
2160,Capital Goods,Industrials,Machinery,Industrial Machinery and Supplies and Components
2110,Capital Goods,Industrials,Electrical Equipment,Electrical Components and Equipment
2040,Capital Goods,Industrials,Building Products,Building Products
4110,Capital Goods,Industrials,Industrial Conglomerates,Industrial Conglomerates
4140,Capital Goods,Industrials,Trading Companies and Distributors,Trading Companies and Distributors
4147,Capital Goods,Industrials,Machinery,Construction Machinery and Heavy Transportation Equipment
4145,Capital Goods,Industrials,Building Products,Building Products
4146,Capital Goods,Industrials,Machinery,Industrial Machinery and Supplies and Components
4141,Capital Goods,Industrials,Building Products,Building Products
4144,Capital Goods,Industrials,Building Products,Building Products
4270,Commercial & Professional Svc,Industrials,Commercial Services and Supplies,Commercial Printing
1831,Commercial & Professional Svc,Industrials,Professional Services,Human Resource and Employment Services
1832,Commercial & Professional Svc,Industrials,Commercial Services and Supplies,Office Services and Supplies
6004,Commercial & Professional Svc,Industrials,Commercial Services and Supplies,Diversified Support Services
1835,Commercial & Professional Svc,Industrials,Professional Services,Human Resource and Employment Services
1833,Commercial & Professional Svc,Industrials,Professional Services,Human Resource and Employment Services
1834,Commercial & Professional Svc,Industrials,Professional Services,Human Resource and Employment Services
4260,Transportation,Industrials,Ground Transportation,Passenger Ground Transportation
4031,Transportation,Industrials,Transportation Infrastructure,Airport Services
