date,open_w,high_w,low_w,close_w,rsi14_w,rsi3_w,sma9_rsi_w,wma45_rsi_w,ema45_rsi_w,sma3_rsi3_w,ema20_sma3_w,cfg_w,cfg_sma4_w,cfg_sma9_w,cfg_ema20_w,cfg_ema45_w,cfg_wma45_w,the_number_w,the_number_hl_w,the_number_ll_w,sma9_close_w,sma4_w,sma9_w,sma18_w,wma45_close_w,cci_w,cci_ema20_w,aroon_up_w,aroon_down_w
2022-02-17,58.650000,60.110000,53.320000,53.380000,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-24,53.320000,55.580000,50.520000,51.980000,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-03,53.850000,54.250000,50.980000,51.180000,,,,,,,,,,,,,,,,,,,,,,,,,
2022-03-10,51.520000,54.180000,50.050000,52.520000,,37.853107,,,,,,,,,,,,,,,,52.265000,,,,,,,
2022-03-17,52.580000,53.050000,50.120000,50.580000,,20.775194,,,,,,,,,,,,,,,,51.565000,,,,,,,
2022-03-24,50.650000,51.850000,49.920000,50.980000,,30.476190,,,,29.701497,,,,,,,,,,,,51.315000,,,,,,,
2022-03-31,51.050000,52.780000,50.920000,51.920000,,51.437396,,,,34.229593,,,,,,,,,,,,51.500000,,,,,,,
2022-04-07,51.980000,56.650000,51.780000,53.250000,,70.386468,,,,50.766685,,,,,,,,,,,,51.682500,,,,,,,
2022-04-14,53.380000,59.250000,53.250000,57.310000,,89.373262,,,,70.399042,,,,,,,,,,,52.566667,53.365000,52.566667,,,,,,
2022-04-21,57.450000,62.850000,57.110000,57.380000,,89.546595,,,,83.102108,,,,,,,,,,,53.011111,54.965000,53.011111,,,,,,
2022-04-28,57.110000,58.980000,55.850000,56.650000,,71.343242,,,,83.421033,,,,,,,,,,,53.530000,56.147500,53.530000,,,,,,
2022-05-12,56.510000,56.650000,51.980000,52.520000,,26.179798,,,,62.356545,,,,,,,,,,,53.678889,55.965000,53.678889,,,,,,
2022-05-19,52.850000,54.980000,51.720000,52.120000,,23.974883,,,,40.499308,,,,,,,,,,,53.634444,54.667500,53.634444,,,,,,
2022-05-26,52.650000,52.650000,50.650000,52.050000,,23.456304,,,,24.536995,,,,,,,,,,,53.797778,53.335000,53.797778,,,-64.982157,,,
