Symbol,Company,Close,RS_3Months,RS_6Months,RS_9Months,RS_1Year,RS
8313,Rasan Information Technology Co.,113.0,98,99,99,99,99
1322,Almasane Alkobra Mining Co.,86.7,99,99,99,97,99
2320,Al-Babtain Power and Telecommunication Co.,62.15,96,95,98,99,99
1303,Electrical Industries Co.,11.17,94,99,99,99,99
4030,National Shipping Company of Saudi Arabia,28.96,95,98,97,98,98
7200,Al Moammar Information Systems Co.,167.5,99,98,98,91,98
1831,Maharah Human Resources Co.,6.3,99,98,92,91,98
2382,Ades Holding Co.,17.09,97,99,93,89,97
2381,Arabian Drilling Co.,96.5,99,97,92,76,97
1211,Saudi Arabian Mining Co.,60.8,78,96,98,96,97
2240,Advanced Building Industries Co.,37.3,98,52,96,95,96
4191,Abdullah Saad Mohammed Abo Moati for Bookstores Co.,42.7,79,92,96,98,96
7020,Etihad Etisalat Co.,65.6,85,96,94,97,95
2110,Saudi Cable Co.,138.0,69,88,96,98,95
4342,Jadwa REIT Saudi Fund,11.06,93,95,95,94,95
2080,National Gas and Industrialization Co.,91.3,98,97,88,80,94
4018,Almoosa Health Co.,175.0,87,96,97,0,94
1321,East Pipes Integrated Company for Industry,135.9,97,95,79,87,93
4051,Baazeem Trading Co.,6.3,92,94,91,89,93
1180,The Saudi National Bank,38.04,88,93,94,95,93
4333,Taleem REIT Fund,10.13,94,94,90,88,92
4240,Fawaz Abdulaziz Alhokair Co.,18.57,9,9,99,99,92
1810,Seera Group Holding,26.1,67,93,94,96,92
4349,Alinma Hospitality REIT Fund,8.3,93,89,90,88,91
1833,Al Mawarid Manpower Co.,125.1,92,75,75,96,91
4200,Aldrees Petroleum and Transport Services Co.,125.4,92,88,76,93,90
2020,SABIC Agri-Nutrients Co.,110.3,82,90,92,89,90
4337,AL AZIZIAH REIT Fund,4.01,86,80,93,91,90
4347,Bonyan REIT Fund,9.24,93,90,88,85,89
7010,Saudi Telecom Co.,42.66,83,91,84,94,89
4190,Jarir Marketing Co.,12.75,77,91,89,90,88
4142,Riyadh Cables Group Co.,127.9,91,67,91,86,88
4280,Kingdom Holding Co.,7.94,95,80,87,81,88
4071,Arabian Contracting Services Co.,112.7,97,93,66,53,87
4345,Alinma Retail REIT Fund,4.51,89,78,87,85,87
1120,Al Rajhi Bank,96.6,75,91,85,92,87
4348,Alkhabeer REIT Fund,5.56,85,87,85,87,86
2300,Saudi Paper Manufacturing Co.,58.15,90,77,89,80,86
4165,Al Majed Oud Co.,127.9,95,56,82,76,85
1050,Banque Saudi Fransi,16.95,77,81,80,93,85
2223,Saudi Aramco Base Oil Co.,94.7,96,74,77,71,85
2282,Naqi Water Co.,54.0,90,89,78,72,84
1060,Saudi Awwal Bank,32.12,90,76,68,86,84
7030,Mobile Telecommunication Company Saudi Arabia,10.36,72,86,82,90,83
4340,Al Rajhi REIT Fund,7.84,80,81,84,84,83
1010,Riyad Bank,27.18,87,79,65,87,83
4003,United Electronics Co.,83.95,79,83,73,84,82
1080,Arab National Bank,21.5,58,87,83,92,82
4334,AL Maather REIT Fund,8.6,83,76,79,82,82
4144,Raoom Trading Co.,64.2,89,85,48,0,81
4083,United International Holding Co.,152.0,82,85,72,75,81
4140,Saudi Industrial Export Co.,2.07,87,70,73,75,80
4336,Mulkia Gulf Real Estate REIT,4.57,82,82,77,74,80
4013,Dr. Sulaiman Al Habib Medical Services Group,251.0,80,78,77,79,80
4344,SEDCO Capital REIT Fund,6.77,85,86,74,63,79
1835,Tamkeen Human Resource Co.,53.1,73,89,87,65,79
4335,Musharaka REIT Fund,4.05,78,82,80,73,78
4338,AlAhli REIT Fund 1,6.29,84,72,68,80,78
2222,Saudi Arabian Oil Co.,23.62,83,82,71,70,78
1030,Saudi Investment Bank,13.1,75,69,75,83,77
4339,Derayah REIT Fund,5.17,75,80,81,78,77
1212,Astra Industrial Group,138.3,91,63,73,56,77
4346,MEFIC REIT Fund,3.48,76,75,71,73,76
2190,Sustained Infrastructure Holding Co.,30.1,64,66,91,82,76
4050,Saudi Automotive Services Co.,54.2,86,67,60,74,75
1304,Al Yamamah Steel Industries Co.,30.98,53,83,83,83,75
4004,Dallah Healthcare Co.,124.3,58,87,88,65,75
4350,Alistithmar AREIC Diversified REIT Fund,6.99,58,54,95,70,74
4015,Jamjoom Pharmaceuticals Factory Co.,141.0,72,56,78,81,74
2140,AYYAN Investment Co.,12.42,88,69,41,72,73
2081,Alkhorayef Water and Power Technologies Co.,128.8,81,73,53,77,73
4160,Thimar Development Holding Co.,37.5,53,92,74,71,73
4321,Arabian Centres Co.,18.69,52,84,79,77,72
3010,Arabian Cement Co.,21.1,84,71,54,63,72
2070,Saudi Pharmaceutical Industries and Medical Appliances Corp.,25.32,56,84,86,58,72
5110,Saudi Electricity Co.,13.96,65,78,69,66,71
1210,Basic Chemical Industries Co.,25.02,68,76,70,67,71
3040,Qassim Cement Co.,41.78,88,49,58,60,70
4332,Jadwa REIT Al Haramain Fund,4.91,80,67,57,67,70
6070,Al-Jouf Agricultural Development Co.,42.84,74,84,67,49,70
1302,Bawan Co.,48.72,48,72,83,76,69
2286,Fourth Milling Co.,3.48,73,55,66,74,69
4081,Nayifat Finance Co.,12.01,71,64,81,55,68
1183,SHL Finance Co.,16.38,37,79,75,85,68
4016,Middle East Pharmaceutical Industries Co.,109.1,56,69,65,83,68
